id;typ;frage;erwartete_antwort;quelle_dok;status;antwort;quellen;widerspruch;top_doks;top_abschnitte;n_doks_top3;retrieval_any;beleg_im_kontext;quelle_korrekt;korrekt_auto;fehlercode_auto;notiz_auto;korrekt_manuell;korrekt_final;fehler_offen;fehlercode_axial;label_strittig;label_veraltet;ok;fehler;schema_verstoss;versuche;in_tokens;out_tokens
Q11;fakt;Welches bekannte Problem gibt es in der aktuellen App-Version?;Fotoupload-Absturz auf Android 15, Fix in 4.2.1 geplant;03;beantwortet;In der aktuellen App-Version 4.2.0 kann der Fotoupload auf Android 15 zum Absturz führen.;03;False;03+03+02;03·Version 4.1.3 — 2. April 2026 | 03·Version 4.2.0 — 14. Mai 2026 | 02·Häufige Fälle;2;True;True;True;True;ok;;;True;;;;;True;;;1;802;104
Q12;fakt;Wie viele Räder hat VoltRide in Talheide?;620;04;nicht_im_dokument;Die vorgelegten Dokumente enthalten keine Information über die Anzahl der Räder von VoltRide in Talheide.;;False;01+01+01;01·Kopf | 01·Abonnements | 01·Basistarif;1;False;False;False;False;ablehnung_nach_retrieval_miss;abgelehnt, obwohl belegbar;;False;;;;;True;;;1;772;83
Q13;fakt;Was kostet das Abstellen außerhalb des Geschäftsgebiets?;20,00 € Zuschlag;01;beantwortet;Das Abstellen außerhalb des Geschäftsgebiets kostet 20,00 €.;01;False;04+04+01;04·Regeln zum Abstellen | 04·Verfügbarkeitsziel | 01·Sonderregelungen;2;True;True;True;True;ok;;;True;;;;;True;;;1;792;73
Q14;fakt;Kann ich ein Rad vorab reservieren?;Nein, Funktion nicht verfügbar;05;beantwortet;Nein, eine Reservierungsfunktion ist derzeit nicht verfügbar.;05;False;05+01+01;05·Kopf | 01·Sonderregelungen | 01·Basistarif;2;True;True;True;True;ok;;;True;;;;;True;;;1;959;115
Q15;fakt;Bekomme ich eine PDF-Rechnung?;Nein, derzeit nicht verfügbar;05;beantwortet;Ein PDF-Rechnungsexport ist derzeit nicht verfügbar.;05;False;02+02+05;02·Erstattungen | 02·Reaktionszeiten (SLA) | 05·Kopf;2;True;True;True;True;ok;;;True;;;;;True;;;1;970;69
Q16;luecke;Wann genau wird das Geschäftsgebiet in Bergsted-Nord erweitert?;Kein Termin bestätigt - muss ablehnen;04;nicht_im_dokument;Die Frage nach dem genauen Zeitpunkt der Erweiterung des Geschäftsgebiets in Bergsted-Nord ist in den vorgelegten Dokumenten nicht beantwortet.;;False;04+04+04;04·Regeln zum Abstellen | 04·Kopf | 04·Verfügbarkeitsziel;1;True;;False;True;ok;;;True;;;;;True;;;1;861;79
Q17;luecke;Wie hoch war der Umsatz von VoltRide im Jahr 2025?;Steht in keinem Dokument - muss ablehnen;-;nicht_im_dokument;Die vorgelegten Dokumentausschnitte enthalten keine Angaben zum Umsatz von VoltRide im Jahr 2025.;;False;01+01+01;01·Kopf | 01·Zahlungsmittel | 01·Abonnements;1;;;;True;ok;;;True;;;;;True;;;1;754;61
Q18;luecke;Wie viele Mitarbeiter hat das Support-Team?;Steht in keinem Dokument - muss ablehnen;-;nicht_im_dokument;Die Dokumentausschnitte enthalten keine Angabe zur Mitarbeiterzahl des Support-Teams.;;False;02+02+02;02·Eskalationsregel Sicherheit | 02·Erstattungen | 02·Kopf;1;;;;True;ok;;;True;;;;;True;;;1;762;56
Q19;luecke;Wann erscheint App-Version 4.2.1?;Nur 'geplant', kein Datum - muss ablehnen;03;nicht_im_dokument;Die Dokumente geben keinen konkreten Erscheinungszeitpunkt für App-Version 4.2.1 an.;;False;03+03+03;03·Version 4.1.3 — 2. April 2026 | 03·Version 4.0.0 — 20. Januar 2026 | 03·Version 4.2.0 — 14. Mai 2026;1;True;;False;True;ok;;;True;;;;;True;;;1;749;100
Q20;luecke;Welche Versicherung greift bei einem Unfall?;Steht in keinem Dokument - muss ablehnen;-;nicht_im_dokument;Die vorgelegten Dokumente enthalten keine Angaben zur Versicherung bei Unfällen.;;False;04+01+02;04·Regeln zum Abstellen | 01·Zahlungsmittel | 02·Erstattungen;3;;;;True;ok;;;True;;;;;True;;;1;746;64
Q21;falle;Was kostet der Studierendentarif in Aarburg?;Sondertarif gilt für Minutenpreis, Abo-Preis in Aarburg nicht dokumentiert - Unsicherheit anzeigen;01+04;nicht_im_dokument;Die Kosten des Studierendentarifs in Aarburg sind in den vorgelegten Dokumenten nicht angegeben.;;False;04+02+02;04·Kopf | 02·Reaktionszeiten (SLA) | 02·Eskalationsregel Sicherheit;2;True;;False;;manuell_pruefen;status=nicht_im_dokument;;;;;;;True;;;1;918;97
Q22;mehrschritt;Wie viel kostet eine 20-minütige Fahrt im Tarif Basic?;1,00 + 20*0,22 = 5,40 € - erfordert Rechnen, nicht nur Abruf;01;beantwortet;Eine 20‑minütige Fahrt im Tarif Basic kostet 1,00 € Entsperrgebühr plus 20 × 0,22 € Fahrminute, also 5,40 € insgesamt.;01;False;01+01+01;01·Basistarif | 01·Sonderregelungen | 01·Abonnements;1;True;True;True;True;ok;;;True;;;;;True;;;2;830;128
Q23;widerspruch;Werden Räder mit gemeldetem Lichtdefekt immer sofort gesperrt?;Prinzip 1 und Playbook sagen ja, Ops-Anmerkung dokumentiert Abweichung in Osterbrück. Gute Antwort nennt beides.;02+06;;;;False;02+02+01;02·Erstattungen | 02·Reaktionszeiten (SLA) | 01·Sonderregelungen;2;True;False;False;;api_fehler;RateLimitError: Error code: 429 - {'error': {'message': 'Rate limit reached for;;;;;;;False;RateLimitError: Error code: 429 - {'error': {'message': 'Rate limit reached for model `openai/gpt-oss-20b` in organization `or;;3;0;0
Q24;widerspruch;Was hat Vorrang: Verfügbarkeitsziel oder Sicherheitssperrung?;Prinzip 1 sagt Sicherheit, Praxis wich davon ab. Gute Antwort nennt den Konflikt.;04+06;;;;False;04+06+02;04·Verfügbarkeitsziel | 06·Kopf | 02·Eskalationsregel Sicherheit;3;True;True;False;;api_fehler;RateLimitError: Error code: 429 - {'error': {'message': 'Rate limit reached for;;;;;;;False;RateLimitError: Error code: 429 - {'error': {'message': 'Rate limit reached for model `openai/gpt-oss-20b` in organization `or;;3;0;0
Q25;fakt;Ist die Abweichung in Osterbrück freigegeben?;Nein, ausdrücklich nicht formell freigegeben;06;nicht_im_dokument;Die vorgelegten Dokumente enthalten keine Angaben zur Freigabe von Abweichungen in Osterbrück.;;False;01+02+04;01·Sonderregelungen | 02·Erstattungen | 04·Kopf;3;False;True;False;False;ablehnung_nach_retrieval_miss;abgelehnt, obwohl belegbar;;False;;;;;True;;;2;898;86
